dq,matches_played,rank,team_key,team_number,event_key,wins,losses,ties,_dlt_load_id,_dlt_id
0,12,17,frc1102,1102,2024gacmp,5,7,0,1732721068.3927283,WmKCJCb5Pd2/qw
0,13,14,frc1539,1539,2024sccha,7,6,0,1732721068.3927283,hZc9SK1O6JQjGA
0,12,13,frc4509,4509,2024gacmp,8,4,0,1732721068.3927283,gSyanwaErf1dFQ
0,12,6,frc6919,6919,2024gacmp,9,3,0,1732721068.3927283,8tph31EaUodCFA
0,12,10,frc8849,8849,2024gacmp,9,3,0,1732721068.3927283,F+wwyDibO0HXvg
0,13,4,frc342,342,2024sccha,10,3,0,1732721068.3927283,7V4nZO1GdTMbCg
0,12,34,frc5109,5109,2024gacmp,6,6,0,1732721068.3927283,PR+RtK9FF4KmiA
0,13,7,frc6925,6925,2024sccha,9,4,0,1732721068.3927283,fEGRgPcc5+Ov2w
0,12,48,frc9522,9522,2024gacmp,2,10,0,1732721068.3927283,ur4dt22FaVuK0Q
0,13,1,frc1102,1102,2024sccha,11,2,0,1732721068.3927283,ne/qbKU2MQgZ0Q
0,13,20,frc1319,1319,2024sccha,5,7,1,1732721068.3927283,g+EXus+KErC/vQ
0,12,25,frc4026,4026,2024gacmp,7,5,0,1732721068.3927283,ai1F4YTYxan7hQ
0,12,47,frc342,342,2024gacmp,3,9,0,1732721068.3927283,i+ehXI/XIvWXaA
0,12,29,frc6925,6925,2024gacmp,5,7,0,1732721068.3927283,YIv2ucJoZ6+oLA
0,12,43,frc8736,8736,2024gacmp,3,9,0,1732721068.3927283,3EzWmPIJNEIP2Q
0,13,23,frc9315,9315,2024sccha,5,8,0,1732721068.3927283,MgsylreOWKJHIg
0,13,19,frc1051,1051,2024sccha,6,7,0,1732721068.3927283,rcoaAO1zuDig2A
0,13,24,frc1293,1293,2024sccha,4,8,1,1732721068.3927283,oVWZr0kRMhH4sA
0,12,12,frc1683,1683,2024gacmp,7,5,0,1732721068.3927283,1KRrRI/Rn/VLUA
0,12,44,frc3490,3490,2024gacmp,3,9,0,1732721068.3927283,iR3HOevqRsvr6g
0,12,39,frc8865,8865,2024gacmp,4,8,0,1732721068.3927283,tHUSAxtIQPPgcQ
0,13,3,frc1287,1287,2024sccha,9,3,1,1732721068.3927283,DCQ1UsC467xijw
0,12,23,frc1648,1648,2024gacmp,6,6,0,1732721068.3927283,wJP2FCN0ff5B+A
0,12,40,frc1746,1746,2024gacmp,5,7,0,1732721068.3927283,aDpSMzJF7ayeHg
0,12,36,frc3489,3489,2024gacmp,4,8,0,1732721068.3927283,viuLRKR+kGOehw
0,13,21,frc3976,3976,2024sccha,6,7,0,1732721068.3927283,HYdtBRfG5sH+tQ
0,12,31,frc4112,4112,2024gacmp,4,8,0,1732721068.3927283,FgXePhoj7vnSkQ
0,13,17,frc5130,5130,2024sccha,6,7,0,1732721068.3927283,bJvHyPFgorbRxQ
0,12,32,frc9477,9477,2024gacmp,5,7,0,1732721068.3927283,NwoVtiIl7iWtKg
0,13,8,frc3490,3490,2024sccha,8,5,0,1732721068.3927283,/lhsdxZhqGP3Og
0,13,18,frc6167,6167,2024sccha,7,5,1,1732721068.3927283,zj/vK2055Z8K8Q
0,12,19,frc2415,2415,2024gacmp,7,5,0,1732721068.3927283,qfNZaV1SWY4IXQ
0,12,16,frc4451,4451,2024gacmp,8,4,0,1732721068.3927283,BhmG9VlIq5dQGQ
0,12,50,frc4701,4701,2024gacmp,2,10,0,1732721068.3927283,sMY25b5y46Pk8Q
0,12,30,frc5900,5900,2024gacmp,5,7,0,1732721068.3927283,uMJziUDpknqdQg
0,12,7,frc6340,6340,2024gacmp,8,4,0,1732721068.3927283,1XFKwVHQjHDPZg
0,12,49,frc8577,8577,2024gacmp,3,9,0,1732721068.3927283,oLKmFQ7DjjAkgw
0,12,26,frc281,281,2024gacmp,5,7,0,1732721068.3927283,Y/ikyRApLb4rKg
0,12,11,frc1261,1261,2024gacmp,8,4,0,1732721068.3927283,f1cq0d232V2/yg
0,12,14,frc8575,8575,2024gacmp,7,5,0,1732721068.3927283,9GBvPIvdede4aA
0,13,25,frc9086,9086,2024sccha,4,9,0,1732721068.3927283,0amdqEACwPMz2w
0,12,24,frc9480,9480,2024gacmp,6,6,0,1732721068.3927283,39zByEV8Abq2uw
0,13,12,frc9571,9571,2024sccha,6,7,0,1732721068.3927283,lCiSt+/dAju3GA
0,13,6,frc281,281,2024sccha,8,5,0,1732721068.3927283,SuWLVJo1hvJ6yg
0,13,16,frc1758,1758,2024sccha,5,8,0,1732721068.3927283,bKLX1FyHFKb+KA
0,12,18,frc5293,5293,2024gacmp,7,5,0,1732721068.3927283,bjb2X/sWjfMF6A
0,13,22,frc6910,6910,2024sccha,4,9,0,1732721068.3927283,J9AtcWp69TYenw
0,13,11,frc8575,8575,2024sccha,7,6,0,1732721068.3927283,IZvRxANOGdUkvg
0,12,38,frc9571,9571,2024gacmp,5,7,0,1732721068.3927283,+/Pt/bxGf1/F4g
0,13,10,frc2815,2815,2024sccha,7,6,0,1732721068.3927283,C5JYxy8fHOSWYA
0,12,28,frc3329,3329,2024gacmp,6,6,0,1732721068.3927283,V0iXbsKcI54A5g
0,12,9,frc4533,4533,2024gacmp,8,4,0,1732721068.3927283,X1g15nFS4LjdzQ
0,13,5,frc6366,6366,2024sccha,9,3,1,1732721068.3927283,rP/ws+96bn+g5g
0,12,21,frc6829,6829,2024gacmp,8,4,0,1732721068.3927283,UvX2Ot3ksLuH/Q
0,13,28,frc7104,7104,2024sccha,4,9,0,1732721068.3927283,M6CJyvDSvCogeQ
0,13,15,frc8137,8137,2024sccha,5,8,0,1732721068.3927283,NY2lQNDM5KU5zA
0,12,1,frc1771,1771,2024gacmp,11,1,0,1732721068.3927283,d3aB4WYWeuX54Q
0,12,37,frc2815,2815,2024gacmp,4,8,0,1732721068.3927283,w4L63aEO56Es/Q
0,13,9,frc4533,4533,2024sccha,7,5,1,1732721068.3927283,Mi/xsSLPwbtDmw
0,12,4,frc6366,6366,2024gacmp,9,3,0,1732721068.3927283,J1F5KX7vSR6y4A
0,13,29,frc6961,6961,2024sccha,2,11,0,1732721068.3927283,k4A44o3M31pmig
0,12,45,frc7104,7104,2024gacmp,3,9,0,1732721068.3927283,cvwTzD5j7dY2fQ
0,12,22,frc343,343,2024gacmp,5,7,0,1732721068.3927283,nFTc95vmGoNmZA
0,12,2,frc2974,2974,2024gacmp,12,0,0,1732721068.3927283,W9c8tSM9y5p3MQ
0,12,8,frc7451,7451,2024gacmp,8,4,0,1732721068.3927283,qwoWOvBVDXi72g
0,12,3,frc1414,1414,2024gacmp,9,3,0,1732721068.3927283,XCSiV8um/Ryk1w
0,12,46,frc3815,3815,2024gacmp,2,10,0,1732721068.3927283,OzxCddEsSyBeDg
0,12,33,frc4188,4188,2024gacmp,6,6,0,1732721068.3927283,e2nBxTyXqblTSg
0,13,27,frc4701,4701,2024sccha,4,9,0,1732721068.3927283,0ZV9TAfATcGwxQ
0,13,13,frc7085,7085,2024sccha,7,6,0,1732721068.3927283,Y2Szf0Ax2B5upQ
0,12,41,frc9260,9260,2024gacmp,5,7,0,1732721068.3927283,xu+7VyBLLNwspw
0,13,2,frc343,343,2024sccha,10,3,0,1732721068.3927283,kfOgoLzWuYc2qQ
0,12,27,frc3635,3635,2024gacmp,6,6,0,1732721068.3927283,R3zDmEn7m+cYKg
0,12,42,frc7538,7538,2024gacmp,3,9,0,1732721068.3927283,XhOzaotgsR6P3g
0,12,15,frc8080,8080,2024gacmp,8,4,0,1732721068.3927283,WrlY79G+UcBk/g
0,12,20,frc9500,9500,2024gacmp,7,5,0,1732721068.3927283,fvTbYbB7uphRTw
0,12,5,frc1287,1287,2024gacmp,8,4,0,1732721068.3927283,HVgEo2JD71/Srw
0,13,26,frc3489,3489,2024sccha,4,9,0,1732721068.3927283,8GT+EAgA/71uLQ
0,12,35,frc5130,5130,2024gacmp,6,6,0,1732721068.3927283,mootPzqrgg+Rew
