city,country,key,name,nickname,postal_code,rookie_year,school_name,state_prov,team_number,website,_dlt_load_id,_dlt_id
Greenville,USA,frc281,Michelin/Greenville Technical College/Greenville Technical College Charter High School/DS Solid Works/TDL Machine and Tool/Applied Research Associates/Wire EDM Services /Vantage Quality Solutions/Dixie Rubber & Plastics&Blue Ridge High School&Eastside High School&Mauldin High School&Sterling School&Green Charter Sch-Greenville&Greenville Tech Charter HS,The GreenVillains,29607,1999,Greenville Tech Charter HS & Green Charter Sch-Greenville & Sterling School & Mauldin High School & Eastside High School & Blue Ridge High School,South Carolina,281,http://www.entech281.com,1732721055.511766,PPorxkDDQAq6TQ
Hopkins,USA,frc3976,RIDGID/EMERSON/Richland One /CATE/Schneider Electric&Lower Richland High School,Electric Hornets,29061,2012,Lower Richland High School,South Carolina,3976,http:///diamondhornetsrobotics.weebly.com,1732721055.511766,2Za/a/Ldb4Gx4g
Hemingway,USA,frc6167,International Paper/Boeing/Georgetown County School District & Carvers Bay High School,CB Bearbots,29554,2016,Carvers Bay High School,South Carolina,6167,http://cbhbearbots.weebly.com,1732721055.511766,z8J7Bo0x1axsig
College Park,USA,frc6925,Woodward Academy/Lockheed Martin & Woodward Academy,W.A.Robotics,30337,2018,Woodward Academy,Georgia,6925,https://www.team6925.com,1732721055.511766,37pRhVhReidi4Q
Macon,USA,frc9260,Bibb County CTAE Department/Booz Allen Hamilton/21st Century Partnership/Perdue Farms/BAE Systems&Bibb County School District,Built4Bibb Robotics,,2023,Bibb County School District,Georgia,9260,,1732721055.511766,/XjPNHh0D3TsoA
Flowery Branch,USA,frc9522,NASA&Flowery Branch High School,Archimedes,,2024,Flowery Branch High School,Georgia,9522,,1732721055.511766,vrU0DyZxF0SpnQ
Myrtle Beach,USA,frc1287,Horry County Schools/Santee Cooper/G M Construction/FIRST IMPRESSIONS WOODWORKING&Academy of Arts Science & Tech,Aluminum Assault,29579,2004,Academy of Arts Science & Tech,South Carolina,1287,https://www.FRCTeam1287.com,1732721055.511766,iAxuoifQ3Imd7A
Columbia,USA,frc1293,"Pandamaniacs Family, Friends & Alumni&Irmo, Chapin, Dutch Fork & Spring Hill High Schools&Family/Community",Pandamaniacs,29212,2004,"Family/Community & Irmo, Chapin, Dutch Fork & Spring Hill High Schools",South Carolina,1293,http://d5robotics.org/,1732721055.511766,WLzBb8NIi+vbtw
Clover,USA,frc1539,Clover High School,Clover Eagle Robotics,29710,2005,Clover High School,South Carolina,1539,http://team1539cloverrobo.wixsite.com/cloverrobotics,1732721055.511766,Nqgy+1okemwDlg
Columbia,USA,frc2815,Richland County School District One/Patrick Engineering/Thor Labs&Dreher High School,Blue Devil Mechanics,29205,2009,Dreher High School,South Carolina,2815,http://bluedevilmechanics.weebly.com/,1732721055.511766,fq7wCZhOxXDKXA
Canton,USA,frc8080,Cherokee County School District/Lockheed Martin/Cherokee Creative Lab/Sequoyah Robotics Booster Club&Sequoyah High School,Sequoyah Robotics,30115,2020,Sequoyah High School,Georgia,8080,,1732721055.511766,FlnK0iIbXf/E/Q
Due West,USA,frc8575,Due West Robotics,The Due Westerners,,2021,Due West Robotics,South Carolina,8575,,1732721055.511766,c4+Ng2qtjmqtxA
Summerville,USA,frc3490,"Robert Bosch, LLC/The Boeing Company/Berkeley County Schools/NIWC/Booz Allen Hamilton/NASA&Cane Bay High School",Viper Drive,29486,2011,Cane Bay High School,South Carolina,3490,https://www.viperdrive.us,1732721055.511766,l2zJn81PMiHa0Q
Cumming,USA,frc3815,Automation Direct & North Forsyth High School,NF Raiders,30028,2011,North Forsyth High School,Georgia,3815,http://www.nfraiderrobotics.com,1732721055.511766,Szh/PtgWr+DHMQ
Marietta,USA,frc8736,Family/Community,The Mechanisms,,2022,Family/Community,Georgia,8736,,1732721055.511766,P2exY9/EmMySMA
Dacula,USA,frc8865,Dacula High School,Dacula Droids,,2022,Dacula High School,Georgia,8865,,1732721055.511766,6vBYS3PXkvCjJw
Columbia,USA,frc9315,The Creative @218/NoMa STEAM/Cornerstone Lawn Service/Bosch/Department of Defense/Richland County/Gene Haas Foundation/RTX/American Association of Blacks in Energy - South Carolina Chapter/Rite Dose/Check Point&Family/Community,Coding Comets,,2023,Family/Community,South Carolina,9315,,1732721055.511766,QlT6OcEOFyQ6bA
Johns Creek,USA,frc1683,Nordson Corporation/PMMI/Rockwell Automation/Cyrano Systems/Solidworks/Slack&Northview High School,Techno Titans,30097,2005,Northview High School,Georgia,1683,https://www.technotitans.org,1732721055.511766,RpZGZJvaMPwlIg
Florence,USA,frc1758,"Florence One Schools/Otis Elevator/ABB/GE Healthcare Volunteers/SWE - Society of Women Engineers/Apple, Inc/WestRock&Florence Career Center",Technomancers,29505,2006,Florence Career Center,South Carolina,1758,http://www.frc1758.org,1732721055.511766,IZbj/IE33net8w
Dalton,USA,frc5900,Shaw Industries/Novelis/Kendall Electric/Technicraft Services/Northwest Georgia College & Career Academy/Hi-Tech Controls/Dalton Utiltiies/CiCis Pizza/N Style Floors Inc./Electric Motor Sales/Tennessee Valley Authority/Mohawk&Whitfield County Career Academy,Career Blazer Robotics - The Fighting Mongooses,30721,2016,Whitfield County Career Academy,Georgia,5900,https://sites.google.com/wcsga.net/team5900,1732721055.511766,wKwtVQkS+ZgqBg
Pawleys Island,USA,frc7085,HTC&Waccamaw High School,Wired Warriors,29585,2018,Waccamaw High School,South Carolina,7085,,1732721055.511766,Xe6hxzEtE+J6+w
Johns Creek,USA,frc5109,Nordson Corporation Foundation/Johns Creek High School PTSA/Johns Creek High School School Governance Council/Holloway Consulting/PCEMT/Berry Bar Acai Bowl/The Home Depot&Johns Creek High School,Gladiator Robotics,30022,2014,Johns Creek High School,Georgia,5109,https://www.gladiator-robotics.org/,1732721055.511766,roNcK6wR5TGRbw
Cumming,USA,frc7451,AutomationDirect.com/Forsyth County Schools/HC Robotics/Rosati's/DoDSTEM/Gene Haas Foundation/Lowe's&Alliance Academy for Innovation,AvengerRobotics,30040,2019,Alliance Academy for Innovation,Georgia,7451,https://avengerrobotics.com,1732721055.511766,AqpB+pdLHZwOpQ
Richmond Hill,USA,frc9086,Publix & Richmond Hill High School,Wildcat Robotics,,2023,Richmond Hill High School,Georgia,9086,,1732721055.511766,62wJNQ4gLyl3FA
Decatur,USA,frc4026,Axon/Lockheed Martin/Decatur Makers&Decatur High School&Family/Community,Decatur Robotics,30030,2012,Family/Community & Decatur High School,Georgia,4026,http://DecaturRobotics.org,1732721055.511766,7aas89M23i1bUw
Columbus,USA,frc4188,Bradley-Turner Foundation/CHS Alumni Association/Muscogee County School District/Hyundai Transys/Aflac/Raytheon Technologies/Pratt & Whitney (Benevity)/Ebco Battery/Crysalis Biosciences/WestCoast Products/Rivertown Pediatrics/US Army/Automation Direct/Costco/Piedmont Healthcare/North Park Family Dentistry/Concrete Contractors/Harbor Freight/Mathnasium&Columbus High School,Columbus Space Program,31906,2012,Columbus High School,Georgia,4188,http://columbusspaceprogram.weebly.com/,1732721055.511766,Q8KA4HXO2HRhQg
Mount Pleasant,USA,frc4533,BOSCH/Naval Information Warfare Center (NIWC) – Atlantic/Boeing/DODEA&East Cooper Center for Advanced Studies,Phoenix,29466,2013,East Cooper Center for Advanced Studies,South Carolina,4533,http://www.wandorobotics.com,1732721055.511766,fyJdtvQ08UC5dQ
Chesnee,USA,frc6961,Project Hub Spartanburg&Chesnee High School,SIbots,29306,2018,Chesnee High School,South Carolina,6961,,1732721055.511766,A/P7YYD2gAiIJw
Lawrenceville,USA,frc7538,Gwinnett County Public Schools/Gene Haas Foundation&Mountain View High School,Metal Mountain,30043,2019,Mountain View High School,Georgia,7538,https://mvhs7538.wixsite.com/metalmountain,1732721055.511766,OicYcenRfmudxw
